true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer]
accept	offer	rennoc1; got some clay. how many do you need; Accept	[Offer]
offer	accept	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Accept]
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	offer	Tomm; I have sheep, yes.; Accept	[Offer]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer]
accept	counteroffer	Dave; sure; Accept	[Counteroffer]
offer	offer	Tomm; rennoc: Sheep for an ore?; Offer	[Offer]
counteroffer	offer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Offer]
offer	other	Dave; anyone need wheat?; Offer	[Accept] 
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	refusal	rennoc1; i'm ok for now; Refusal	[Refusal]
offer	offer	rennoc1; any got any wood they can trade; Offer	[Offer]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	offer	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Offer]
accept	offer	rennoc1; yep; Accept	[Offer]
offer	counteroffer	Dave; willing to trade for clay and sheep; Offer	Counteroffer
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	offer	rennoc1; ok; Accept	[Offer]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer]
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer]
accept	offer	Tomm; Ore would be good.; Accept	[Offer]
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer]
counteroffer	offer	rennoc1; can I have some wood dave?; Counteroffer	[Offer]
counteroffer	offer	Dave; what have you got to trade?; Counteroffer	[Offer]
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer]
accept	counteroffer	Dave; I guess I can use two sheep; Accept	[Counteroffer]
