true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer], Emily: I have some wood. Would you be willing to trade for some brick?
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Other], Dave: Just rolled a double six!
refusal	accept	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Accept], Sarah: I can trade you 2 clay for 1 sheep.
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other], Anna: That's right, Tomm. Losing cards can really set you back in this game.
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	Offer, Emily: I can help you move it if you give me a brick.
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer], Sarah: I can give you 2 wheat for 1 ore.
counteroffer	counteroffer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Counteroffer], Player3: I can give you some ore in exchange for wood.
accept	other	Tomm; I have sheep, yes.; Accept	[Other], Rachel: I can't believe the robber keeps targeting my brick hex! It's really slowing down my progress.
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer], Alice: I could offer you some wood in exchange for some sheep.
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer], Sarah: I have wheat, would you trade for ore?
accept	counteroffer	Dave; sure; Accept	[Counteroffer], Lisa: Sheep for a wheat and a wood instead?
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	Other, Lisa: You're welcome, Dave. Any plans for your next move?
counteroffer	accept	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Accept], Tomm: Sure, let's make the trade.
offer	other	Dave; anyone need wheat?; Offer	[Other], Lisa: It depends on what you're offering in return.
refusal	other	Tomm; no thanks; Refusal	[Other], Jane: Can I trade you some wood for wheat, Dave?
offer	offer	Dave; rennoc?; Offer	[Offer], Sarah: Would you be willing to trade a wheat for a wood?
refusal	offer	rennoc1; i'm ok for now; Refusal	[Offer], Emma: I have a brick and a wheat. Would anyone like to trade for some ore?
offer	other	rennoc1; any got any wood they can trade; Offer	[Other], Emma: Good move, Dave. Looks like you're going for the Longest Road bonus.
refusal	accept	Dave; Nope; Refusal	[Accept], bluePlayer: I can trade you wood for brick.
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other], Emma: Are you having trouble getting the resources you need to build?
accept	offer	rennoc1; yep; Accept	[Offer], Emily: I could use some ore, what are you looking for in return?
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer], rennoc2: I can trade you 1 wood for 1 brick.
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer], Sarah: I can give you 2 sheep for 1 clay.
accept	counteroffer	rennoc1; got some clay.; Accept	[Counteroffer], Beth: I can offer you 1 wheat in exchange for 1 ore.
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer], Janelle: I can offer you some wheat in exchange for your clay.
accept	counteroffer	rennoc1; ok; Accept	[Counteroffer], Sarah: Sorry Dave, I can't do 1 ore for 1 clay. How about 1 wheat for 1 clay instead?
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer], Sarah: I can offer you 2 wheat for 1 brick.
offer	accept	Tomm; Anyone needy?; Offer	[Accept], Sarah: I accept your offer, Tomm.
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer], Sarah: I could use some brick, anyone willing to trade?
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer], Sarah: I can trade you a wheat for a brick.
accept	offer	Tomm; Ore would be good.; Accept	[Offer], Dave: Want to trade some ore for wheat, Tomm?
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer], Lily: I've got some ore, would you be willing to trade for some wheat?
counteroffer	offer	rennoc1; can I have some wood dave?; Counteroffer	[Offer], Emily: I can give you 1 wheat for 1 wood.
counteroffer	offer	Dave; what have you got to trade?; Counteroffer	[Offer], Dave: I can give you 2 wood for 1 brick, rennoc1.
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer], Sarah: I have some wheat and ore to trade.
accept	offer	Dave; I guess I can use two sheep; Accept	[Offer], rennoc2: brick
accept	offer	Dave; yeah, go ahead; Accept	[Offer], Emily: I can give you two sheep in exchange for one ore.
offer	other	Dave; Still want to trade?; Offer	[Other], Jenna: Are you feeling okay, Tomm?
accept	accept	Tomm; Yes, do you still want to? do you still want to?; Accept	[Accept], Emma: Sure, I'll trade with you.
accept	offer	Dave; and yeah, and yeah, sure; Accept	[Offer], Sarah: I'll trade you a wheat for a brick.
offer	other	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	Other, Sarah: Just give me a moment to think about my next move.
refusal	offer	Tomm; Ah, 'fraid not; Refusal	[Offer], Sarah: I can offer you some wood in exchange for wheat.
