true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	accept	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Accept]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	other	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Other]
counteroffer	refusal	rennoc1; could do with some ore or sheep; Counteroffer	[Refusal]
counteroffer	other	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer] Let's trade! I have extra ore, how about you give me some wheat in exchange?
accept	offer	Tomm; I have sheep, yes.; Accept	[Offer]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	other	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer] Another player responds: I have ore, would you trade it for wood?
accept	accept	Dave; sure; Accept	[Accept]
offer	offer	Tomm; rennoc: Sheep for an ore?; Offer	[Offer]
counteroffer	refusal	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Refusal]
offer	accept	Dave; anyone need wheat?; Offer	[Accept]
refusal	other	Tomm; no thanks; Refusal	[Other]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	accept	rennoc1; i'm ok for now; Refusal	[Accept]
offer	offer	rennoc1; any got any wood they can trade; Offer	[Offer]
refusal	other	Dave; Nope; Refusal	[Offer] "I have plenty of wood, I can trade it for some wheat." [Player A]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	other	rennoc1; yep; Accept	[Offer] Anyone willing to trade some wheat for ore?
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	accept	rennoc1; ok; Accept	[Accept]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	other	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer] 

I'll trade you a wheat for a brick.
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer]
accept	other	Tomm; Ore would be good.; Accept	[Other]
offer	other	Dave; 1 ore for 1 sheep it is; Offer	[Offer] "I have ore, would you like to trade for some wood?"
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept]
