,addressee,dialogue_act,dialogue_num,doc,emitter,global_id,games,original_turn_number,span_end,subdoc,superdoc_num,surface_act,text,turn_id,type,parent_schema_id,schema_composition,incoming_relation_id,relation_type
0,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340734901,1,1,16,1,1,Assertion,ello,1,Segment,pilot01_01_nasher_1454935879466,EDU,0,0
1,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340744901,1,2,55,1,1,Assertion,Just got a connection reset,2,Segment,pilot01_01_nasher_1454935879466,EDU,pilot01_01_sleva_1340913596043,Continuation
2,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681381,1,2.1,91,1,1,Assertion,"Hm, shouldn't happen",3,Segment,0,0,pilot01_01_sleva_1340913618968,Explanation
3,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681382,1,2.1,112,1,1,Assertion,(and hasn't before).,3,Segment,0,0,pilot01_01_nasher_1454935989207,Background
4,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681383,1,2.1,146,1,1,Assertion,Let me know if you have problems.,3,Segment,0,0,pilot01_01_nasher_1454936105845,Continuation
5,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340754901,1,3,210,1,1,Assertion,Got a SocketException error appear in this chat line,4,Segment,pilot01_01_nasher_1454936206869,EDU,0,0
6,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340764901,1,4,259,1,1,Assertion,I guess we'll see if it happens again,5,Segment,pilot01_01_nasher_1454936206869,EDU,pilot01_01_sleva_1340913633282,Comment
7,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681392,1,4.1,279,1,1,Assertion,"Yes,",6,Segment,0,0,pilot01_01_nasher_1454936304682,Acknowledgement
8,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681393,1,4.1,296,1,1,Assertion,fingers crossed.,6,Segment,0,0,pilot01_01_nasher_1454936312529,Comment
9,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340774901,1,5,350,1,1,Question,I take it this is the right game to be in?,7,Segment,0,0,pilot01_01_sleva_1340913646903,Clarification_question
10,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681399,1,5.1,370,1,1,Assertion,"Yes,",8,Segment,0,0,pilot01_01_nasher_1454936353137,Question_answer_pair
11,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681400,1,5.1,408,1,1,Assertion,I don't know where the other two are.,8,Segment,0,0,pilot01_01_nasher_1454936390280,Contrast
12,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681403,1,5.2,454,1,1,Assertion,It's been very last minute ...,9,Segment,0,0,pilot01_01_nasher_1454936409216,Comment
13,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340784901,1,6,476,1,1,Assertion,Excellent!,10,Segment,0,0,pilot01_01_nasher_1454936525142,Acknowledgement
14,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340784902,1,6,482,1,1,Assertion,"Yeah,",10,Segment,pilot01_01_nasher_1374067270589,EDU,0,0
15,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340784903,1,6,562,1,1,Assertion,"well it always feels last minute when you are getting participants, doesn't it?",10,Segment,pilot01_01_nasher_1374067270589,EDU,pilot01_01_sleva_1340913727748,Continuation
16,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681411,1,6.1,588,1,1,Assertion,"Hehe, yes.",11,Segment,0,0,pilot01_01_nasher_1454936576845,Question_answer_pair
17,Tomm,Other,1,pilot01,Markus,pilot01_01_stac_1454681412,1,6.1,624,1,1,Assertion,Perhaps they're still in a lecture.,11,Segment,0,0,pilot01_01_nasher_1454936608789,Explanation
18,All,Other,1,pilot01,Tomm,pilot01_01_stac_1340794901,1,7,680,1,1,Question,"So, does this generate a random Catan board?",12,Segment,0,0,pilot01_01_nasher_1374068039101,Clarification_question
