true_act	pred_act	true_turn	pred_turn
offer	offer	Dave; does anyone have any wood they would be willing to trade for?; Offer	[Offer]
refusal	other	Tomm; Not until people start rolling 8's :P; Refusal	[Other]
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	refusal	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Refusal]
accept	offer	rennoc1; got some clay. how many do you need; Accept	[Offer]
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Offer]
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	offer	Tomm; I have sheep, yes.; Accept	[Offer]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	counteroffer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Counteroffer]
accept	accept	Dave; sure; Accept	[Accept]
offer	counteroffer	Tomm; rennoc: Sheep for an ore?; Offer	[Counteroffer]
counteroffer	counteroffer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Counteroffer]
offer	other	Dave; anyone need wheat?; Offer	[Other]
refusal	refusal	Tomm; no thanks; Refusal	[Refusal]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	other	rennoc1; i'm ok for now; Refusal	[Other]
offer	offer	rennoc1; any got any wood they can trade; Offer	[Offer]
refusal	refusal	Dave; Nope; Refusal	[Refusal]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
offer	offer	Dave; anyone need ore?; Offer	[Offer]
accept	accept	rennoc1; yep; Accept	[Accept]
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	accept	Dave; 1 ore for 1 clay?; Offer	[Accept]
accept	accept	rennoc1; ok; Accept	[Accept]
offer	offer	Tomm; Sheep!; Offer	[Offer]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	other	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Other]
refusal	other	rennoc1; yeah, ive nothing either; Refusal	[Other]
offer	offer	Dave; Ok now I can trade you ore or wood, need either?; Offer	[Offer]
accept	offer	Tomm; Ore would be good.; Accept	[Offer]
offer	accept	Dave; 1 ore for 1 sheep it is; Offer	[Accept]
counteroffer	offer	rennoc1; can I have some wood dave?; Counteroffer	[Offer]
counteroffer	offer	Dave; what have you got to trade?; Counteroffer	[Offer]
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer]
accept	accept	Dave; I guess I can use two sheep; Accept	[Accept]
accept	accept	Dave; yeah, go ahead; Accept	[Accept]
offer	other	Dave; Still want to trade?; Offer	[Other]
accept	accept	Tomm; Yes, do you still want to? do you still want to?; Accept	[Accept]
accept	other	Dave; and yeah, and yeah, sure; Accept	[Other]
offer	counteroffer	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	[Counteroffer]
refusal	refusal	Tomm; Ah, 'fraid not; Refusal	[Refusal]
offer	other	Dave; rennoc?; Offer	[Other]
refusal	refusal	rennoc1; nope dont have either; Refusal	[Refusal]
offer	offer	Dave; wheat for ore anyone?; Offer	[Offer]
refusal	other	Tomm; You just nicked my wheat :P; Refusal	[Other]
refusal	refusal	Tomm; Not going to buy it back; Refusal	[Refusal]
offer	other	Dave; Want to buy it back? :D; Offer	[Other]
offer	offer	Tomm; Anyone want anything for wood?; Offer	[Offer]
refusal	refusal	rennoc1; dont have any, sorry; Refusal	[Refusal]
offer	offer	Tomm; So no wood anyone? okay okay; Offer	[Offer]
refusal	refusal	Dave; nope, sorry; Refusal	[Refusal]
offer	offer	rennoc1; so anyone have any ore? I have sheep to spare; Offer	[Offer]
counteroffer	offer	Dave; I have wheat; Counteroffer	[Offer]
refusal	refusal	Tomm; fraid not; Refusal	[Refusal]
offer	offer	Dave; anyone need wheat?; Offer	[Offer]
refusal	refusal	Tomm; Really not, sorry.; Refusal	[Refusal]
offer	refusal	Dave; rennoc?; Offer	[Refusal]
refusal	offer	rennoc1; I'm fine for wheat at the mo; Refusal	[Offer]
offer	offer	Dave; anyone need wheat?; Offer	[Offer]
counteroffer	offer	Tomm; What for?; Counteroffer	[Offer]
offer	other	Dave; clay, I guess, or ore; Offer	[Other]
offer	offer	Dave; or wood; Offer	[Offer]
offer	counteroffer	Tomm; Dave: Wheat for a clay?; Offer	[Counteroffer]
counteroffer	counteroffer	Dave; sure, can you do 2 for 2, or do you just want 1 for 1; Counteroffer	[Counteroffer]
accept	counteroffer	Tomm; Just 1-4-1 I'm afraid; Accept	Counteroffer
accept	refusal	Dave; fair enough; Accept	[Refusal]
offer	offer	rennoc1; any spare ores anyone?; Offer	[Offer]
refusal	refusal	Dave; afraid not, sorry; Refusal	[Refusal]
refusal	refusal	Tomm; None here either :(; Refusal	[Refusal]
offer	offer	Dave; wheat for wood anyone?; Offer	[Offer]
offer	offer	Dave; or a sheep; Offer	[Offer]
refusal	refusal	Tomm; sorry :/; Refusal	[Refusal]
offer	offer	rennoc1; anyone have any wood?; Offer	[Offer]
refusal	refusal	Dave; nope, sorry; Refusal	[Refusal]
refusal	offer	Tomm; I think we are all looking for it! I think we are all looking for it!; Refusal	[Offer]
offer	offer	Dave; can anyone trade clay for ore; Offer	[Offer]
offer	offer	Dave; as in, I give you the clay; Offer	[Offer]
refusal	refusal	Tomm; No ore, sorry.; Refusal	[Refusal]
refusal	refusal	rennoc1; me neither me neither; Refusal	[Refusal]
offer	offer	Dave; anyone got clay or ore they can swap for wheat?; Offer	[Offer]
offer	counteroffer	Dave; clay or wood, rather; Offer	[Counteroffer]
accept	refusal	Tomm; Only got that one; Accept	[Refusal]
offer	counteroffer	Dave; could you, by any chance, use some fine high quality wheat; Offer	[Counteroffer]
offer	offer	Dave; guaranteed to be 100% more edible than clay; Offer	[Offer]
accept	other	Tomm; If I get more clay, perhaps... I can eat the sheep for now.; Accept	[Other]
accept	offer	rennoc1; maybe but I have almost nothing but wheat to trade back; Accept	[Offer]
offer	offer	Dave; clay or wood rennoc?; Offer	[Offer]
offer	other	Dave; either one; Offer	[Other]
refusal	refusal	rennoc1; unfortunately, neither one; Refusal	[Refusal]
counteroffer	counteroffer	rennoc1; tomm, could I give you 3 sheep for a clay and an ore?; Counteroffer	[Counteroffer]
refusal	refusal	Tomm; I don't have ore, I'm afraid!; Refusal	[Refusal]
refusal	refusal	Tomm; Well, as I say, don't have any ore at all; Refusal	[Refusal]
counteroffer	offer	rennoc1; do you have any ores, dave?; Counteroffer	[Offer]
refusal	other	Dave; lo; Refusal	[Other]
refusal	other	Dave; I don't, no; Refusal	[Other]
offer	other	Dave; I have wheat; Offer	[Other]
offer	offer	Dave; but seriously, want to trade for some wheat?; Offer	[Offer]
offer	offer	rennoc1; so you have ore to spare then...?; Offer	[Offer]
accept	accept	Dave; I do; Accept	[Accept]
counteroffer	offer	Dave; ore for wood?; Counteroffer	[Offer]
counteroffer	offer	rennoc1; if only... I have clay? I have clay?; Counteroffer	[Offer]
accept	other	Dave; yeah, go ahead yeah, go ahead; Accept	[Other]
offer	offer	rennoc1; so dave, what did you have to trade for clay?; Offer	[Offer]
counteroffer	offer	Tomm; I could offer things?; Counteroffer	[Offer]
counteroffer	offer	Dave; wood?; Counteroffer	[Offer]
counteroffer	offer	Tomm; Ore?; Counteroffer	[Offer]
counteroffer	refusal	Dave; clay rennoc; Counteroffer	[Refusal]
counteroffer	offer	Dave; I have ore to trade (or wheat, always wheat) I have ore to trade (or wheat, always wheat); Counteroffer	[Offer]
offer	offer	rennoc1; tomm, do you have ore?; Offer	[Offer]
accept	offer	Tomm; Yes, yes I do; Accept	[Offer]
accept	offer	rennoc1; ok; Accept	[Offer]
offer	offer	Dave; any wood around?; Offer	[Offer]
refusal	offer	rennoc1; nope; Refusal	[Offer]
offer	offer	Dave; has anyone got a sheep, I can trade wheat or clay; Offer	[Offer]
refusal	refusal	Tomm; Surprisingly I am bereft of sheep.; Refusal	[Refusal]
offer	other	Dave; rennoc?; Offer	[Other]
refusal	refusal	rennoc1; sorry, no sheep; Refusal	[Refusal]
offer	offer	Tomm; Fancy some tasty ore?; Offer	[Offer]
refusal	refusal	Dave; I do not ^_^; Refusal	[Refusal]
offer	offer	Tomm; How about clay?; Offer	[Offer]
refusal	refusal	Dave; nope, sorry, I'm good for clay; Refusal	[Refusal]
offer	offer	Dave; trade?; Offer	[Offer]
counteroffer	offer	Tomm; Tommville is amused by such base humour. Anyway, what will you offer for wood?; Counteroffer	[Offer]
offer	offer	Dave; wheat?:D; Offer	[Offer]
offer	counteroffer	Dave; or clay; Offer	[Counteroffer]
counteroffer	offer	rennoc1; anone have sheep; Counteroffer	[Offer]
refusal	other	Tomm; Pfft, your pots are of no use.; Refusal	[Other]
refusal	other	Tomm; Sadly still no sheep :(; Refusal	[Other]
offer	offer	Dave; wheat then?; Offer	[Offer]
refusal	other	Tomm; Talk to rennoc first, it's his go :p; Refusal	[Other]
accept	accept	rennoc1; yeah sure, could do with some wheat yeah sure, could do with some wheat; Accept	[Accept]
offer	offer	Dave; got wood?; Offer	[Offer]
refusal	refusal	rennoc1; nope; Refusal	[Refusal]
counteroffer	offer	Tomm; Dave - how many wheat would you give for 1 wood?; Counteroffer	[Offer]
offer	accept	Dave; I will give you one whole wheat; Offer	[Accept]
counteroffer	counteroffer	Tomm; I must demand 2.; Counteroffer	[Counteroffer]
counteroffer	offer	rennoc1; i would give you 2 clay?; Counteroffer	[Offer]
refusal	refusal	Dave; I must refuse, on principle; Refusal	[Refusal]
counteroffer	offer	Tomm; although I could offer you ore, Rennoc?; Counteroffer	[Offer]
counteroffer	offer	Tomm; depending on what you have; Counteroffer	[Offer]
