true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Other]
refusal	accept	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Accept]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	other	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Other]
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	other	Tomm; I have sheep, yes.; Accept	[Other]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer]
accept	refusal	Dave; sure; Accept	[Refusal]
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	other	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Other]
offer	other	Dave; anyone need wheat?; Offer	[Other]
refusal	other	Tomm; no thanks; Refusal	[Other]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	other	rennoc1; i'm ok for now; Refusal	[Other]
offer	offer	rennoc1; any got any wood they can trade; Offer	[Offer]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	other	rennoc1; yep; Accept	[Other]
offer	other	Dave; willing to trade for clay and sheep; Offer	[Other]
counteroffer	other	Tomm; what for?; Counteroffer	[Other]
accept	other	rennoc1; got some clay.; Accept	[Other]
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	refusal	rennoc1; ok; Accept	[Refusal]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer]
refusal	other	rennoc1; yeah, ive nothing either; Refusal	[Other]
accept	other	Tomm; Ore would be good.; Accept	[Other]
offer	other	Dave; 1 ore for 1 sheep it is; Offer	[Other]
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept]
counteroffer	accept	Dave; what have you got to trade?; Counteroffer	[Accept]
counteroffer	other	rennoc1; sheep; Counteroffer	[Other]
