true_act	pred_act	true_turn	pred_turn
refusal	refusal	Tomm; Not until people start rolling 8's :P; Refusal	[Refusal]
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	refusal	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Refusal]
counteroffer	counteroffer	rennoc1; could do with some ore or sheep; Counteroffer	[Counteroffer]
counteroffer	counteroffer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Counteroffer]
accept	other	Tomm; I have sheep, yes.; Accept	[Other]
counteroffer	other	Dave; Need ore or wheat?; Counteroffer	[Other]
offer	counteroffer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Counteroffer]
accept	counteroffer	Dave; sure; Accept	[Counteroffer]
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	counteroffer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Counteroffer]
offer	accept	Dave; anyone need wheat?; Offer	[Accept]
refusal	counteroffer	Tomm; no thanks; Refusal	[Counteroffer]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	refusal	rennoc1; i'm ok for now; Refusal	[Refusal]
offer	other	rennoc1; any got any wood they can trade; Offer	[Other]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	refusal	rennoc1; yep; Accept	[Refusal]
offer	counteroffer	Dave; willing to trade for clay and sheep; Offer	[Counteroffer]
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	counteroffer	rennoc1; got some clay.; Accept	[Counteroffer]
offer	counteroffer	Dave; 1 ore for 1 clay?; Offer	[Counteroffer]
accept	counteroffer	rennoc1; ok; Accept	[Counteroffer]
offer	other	Tomm; Wheat? Sheep?; Offer	[Other]
offer	counteroffer	Tomm; Anyone needy?; Offer	[Counteroffer]
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer]
refusal	other	rennoc1; yeah, ive nothing either; Refusal	[Other]
accept	refusal	Tomm; Ore would be good.; Accept	[Refusal]
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer]
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept]
counteroffer	counteroffer	Dave; what have you got to trade?; Counteroffer	[Counteroffer]
counteroffer	counteroffer	rennoc1; sheep; Counteroffer	[Counteroffer]
accept	counteroffer	Dave; I guess I can use two sheep; Accept	[Counteroffer]
accept	counteroffer	Dave; yeah, go ahead; Accept	[Counteroffer]
offer	other	Dave; Still want to trade?; Offer	[Other]
accept	refusal	Tomm; Yes, do you still want to? do you still want to?; Accept	[Refusal]
accept	accept	Dave; and yeah, and yeah, sure; Accept	[Accept]
offer	accept	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	[Accept]
refusal	counteroffer	Tomm; Ah, 'fraid not; Refusal	[Counteroffer]
offer	other	Dave; rennoc?; Offer	[Other]
refusal	other	rennoc1; nope dont have either; Refusal	[Other]
refusal	counteroffer	Tomm; You just nicked my wheat :P; Refusal	[Counteroffer]
refusal	refusal	Tomm; Not going to buy it back; Refusal	[Refusal]
offer	refusal	Dave; Want to buy it back? :D; Offer	[Refusal]
offer	refusal	Tomm; Anyone want anything for wood?; Offer	[Refusal]
refusal	other	rennoc1; dont have any, sorry; Refusal	[Other]
offer	other	Tomm; So no wood anyone? okay okay; Offer	[Other]
refusal	offer	Dave; nope, sorry; Refusal	[Offer]
offer	other	rennoc1; so anyone have any ore? I have sheep to spare; Offer	[Other]
counteroffer	offer	Dave; I have wheat; Counteroffer	[Offer]
refusal	counteroffer	Tomm; fraid not; Refusal	[Counteroffer]
offer	offer	Dave; anyone need wheat?; Offer	[Offer]
refusal	offer	Tomm; Really not, sorry.; Refusal	[Offer]
offer	refusal	Dave; rennoc?; Offer	[Refusal]
refusal	other	rennoc1; I'm fine for wheat at the mo; Refusal	[Other]
counteroffer	other	Tomm; What for?; Counteroffer	[Other]
offer	counteroffer	Dave; clay, I guess, or ore; Offer	[Counteroffer]
offer	counteroffer	Dave; or wood; Offer	[Counteroffer]
counteroffer	counteroffer	Dave; sure, can you do 2 for 2, or do you just want 1 for 1; Counteroffer	[Counteroffer]
accept	counteroffer	Tomm; Just 1-4-1 I'm afraid; Accept	[Counteroffer]
accept	refusal	Dave; fair enough; Accept	[Refusal]
offer	other	rennoc1; any spare ores anyone?; Offer	[Other]
refusal	offer	Dave; afraid not, sorry; Refusal	[Offer]
refusal	refusal	Tomm; None here either :(; Refusal	[Refusal]
offer	counteroffer	Dave; or a sheep; Offer	[Counteroffer]
refusal	counteroffer	Tomm; sorry :/; Refusal	[Counteroffer]
offer	other	rennoc1; anyone have any wood?; Offer	[Other]
refusal	offer	Dave; nope, sorry; Refusal	[Offer]
