true_act	pred_act	true_turn	pred_turn
offer	offer	Dave; does anyone have any wood they would be willing to trade for?; Offer	[Offer]
refusal	refusal	Tomm; Not until people start rolling 8's :P; Refusal	Refusal
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	refusal	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Refusal]
accept	offer	rennoc1; got some clay. how many do you need; Accept	Offer
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Offer]
counteroffer	counteroffer	rennoc1; could do with some ore or sheep; Counteroffer	[Counteroffer]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	other	Tomm; I have sheep, yes.; Accept	Other
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	Offer
offer	counteroffer	Tomm; Sheep for an ore and sheep for a clay?; Offer	Counteroffer
accept	accept	Dave; sure; Accept	[Accept]
offer	offer	Tomm; rennoc: Sheep for an ore?; Offer	Offer
counteroffer	counteroffer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	Counteroffer
offer	offer	Dave; anyone need wheat?; Offer	[Offer]
refusal	refusal	Tomm; no thanks; Refusal	Refusal
offer	offer	Dave; rennoc?; Offer	Offer
refusal	refusal	rennoc1; i'm ok for now; Refusal	Refusal
offer	offer	rennoc1; any got any wood they can trade; Offer	Offer
refusal	refusal	Dave; Nope; Refusal	[Refusal]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
offer	offer	Dave; anyone need ore?; Offer	[Offer]
accept	accept	rennoc1; yep; Accept	[Accept]
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	other	Tomm; what for?; Counteroffer	[Other]
accept	offer	rennoc1; got some clay.; Accept	Offer
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	accept	rennoc1; ok; Accept	[Accept]
offer	offer	Tomm; Sheep!; Offer	[Offer]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	other	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Other]
refusal	other	rennoc1; yeah, ive nothing either; Refusal	[Other]
offer	offer	Dave; Ok now I can trade you ore or wood, need either?; Offer	[Offer]
accept	accept	Tomm; Ore would be good.; Accept	Accept
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer]
counteroffer	offer	rennoc1; can I have some wood dave?; Counteroffer	Offer
counteroffer	other	Dave; what have you got to trade?; Counteroffer	[Other]
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer]
accept	accept	Dave; I guess I can use two sheep; Accept	[Accept]
accept	accept	Dave; yeah, go ahead; Accept	[Accept]
offer	offer	Dave; Still want to trade?; Offer	[Offer]
accept	accept	Tomm; Yes, do you still want to? do you still want to?; Accept	Accept
accept	accept	Dave; and yeah, and yeah, sure; Accept	[Accept]
offer	counteroffer	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	Counteroffer
refusal	refusal	Tomm; Ah, 'fraid not; Refusal	[Refusal]
offer	other	Dave; rennoc?; Offer	Other
refusal	refusal	rennoc1; nope dont have either; Refusal	Refusal
offer	offer	Dave; wheat for ore anyone?; Offer	[Offer]
refusal	other	Tomm; You just nicked my wheat :P; Refusal	Other
refusal	refusal	Tomm; Not going to buy it back; Refusal	[Refusal]
offer	offer	Dave; Want to buy it back? :D; Offer	Offer
offer	offer	Tomm; Anyone want anything for wood?; Offer	[Offer]
refusal	refusal	rennoc1; dont have any, sorry; Refusal	Refusal
offer	offer	Tomm; So no wood anyone? okay okay; Offer	Offer
refusal	refusal	Dave; nope, sorry; Refusal	[Refusal]
offer	offer	rennoc1; so anyone have any ore? I have sheep to spare; Offer	[Offer]
counteroffer	offer	Dave; I have wheat; Counteroffer	[Offer]
refusal	refusal	Tomm; fraid not; Refusal	[Refusal]
offer	offer	Dave; anyone need wheat?; Offer	Offer
refusal	refusal	Tomm; Really not, sorry.; Refusal	[Refusal]
offer	other	Dave; rennoc?; Offer	Other
refusal	other	rennoc1; I'm fine for wheat at the mo; Refusal	Other
offer	offer	Dave; anyone need wheat?; Offer	[Offer]
counteroffer	other	Tomm; What for?; Counteroffer	Other
offer	offer	Dave; clay, I guess, or ore; Offer	[Offer]
offer	offer	Dave; or wood; Offer	[Offer]
offer	offer	Tomm; Dave: Wheat for a clay?; Offer	[Offer]
counteroffer	counteroffer	Dave; sure, can you do 2 for 2, or do you just want 1 for 1; Counteroffer	Counteroffer
accept	counteroffer	Tomm; Just 1-4-1 I'm afraid; Accept	Counteroffer
accept	accept	Dave; fair enough; Accept	Accept
offer	offer	rennoc1; any spare ores anyone?; Offer	Offer
refusal	refusal	Dave; afraid not, sorry; Refusal	Refusal
refusal	refusal	Tomm; None here either :(; Refusal	Refusal
offer	offer	Dave; wheat for wood anyone?; Offer	[Offer]
offer	offer	Dave; or a sheep; Offer	Offer
refusal	refusal	Tomm; sorry :/; Refusal	Refusal
offer	offer	rennoc1; anyone have any wood?; Offer	Offer
refusal	refusal	Dave; nope, sorry; Refusal	Refusal
refusal	other	Tomm; I think we are all looking for it! I think we are all looking for it!; Refusal	Other
offer	offer	Dave; can anyone trade clay for ore; Offer	Offer
offer	offer	Dave; as in, I give you the clay; Offer	Offer
refusal	refusal	Tomm; No ore, sorry.; Refusal	[Refusal]
refusal	refusal	rennoc1; me neither me neither; Refusal	Refusal
offer	offer	Dave; anyone got clay or ore they can swap for wheat?; Offer	[Offer]
offer	offer	Dave; clay or wood, rather; Offer	Offer
accept	refusal	Tomm; Only got that one; Accept	[Refusal]
offer	offer	Dave; could you, by any chance, use some fine high quality wheat; Offer	[Offer]
offer	offer	Dave; guaranteed to be 100% more edible than clay; Offer	[Offer]
accept	counteroffer	Tomm; If I get more clay, perhaps... I can eat the sheep for now.; Accept	Counteroffer
accept	counteroffer	rennoc1; maybe but I have almost nothing but wheat to trade back; Accept	Counteroffer
offer	offer	Dave; clay or wood rennoc?; Offer	[Offer]
offer	offer	Dave; either one; Offer	[Offer]
refusal	refusal	rennoc1; unfortunately, neither one; Refusal	[Refusal]
counteroffer	offer	rennoc1; tomm, could I give you 3 sheep for a clay and an ore?; Counteroffer	Offer
refusal	refusal	Tomm; I don't have ore, I'm afraid!; Refusal	Refusal
refusal	other	Tomm; Well, as I say, don't have any ore at all; Refusal	Other
counteroffer	offer	rennoc1; do you have any ores, dave?; Counteroffer	Offer
refusal	other	Dave; lo; Refusal	Other
refusal	refusal	Dave; I don't, no; Refusal	Refusal
offer	offer	Dave; I have wheat; Offer	Offer
offer	offer	Dave; but seriously, want to trade for some wheat?; Offer	Offer
