true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	accept	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Accept]
accept	offer	rennoc1; got some clay. how many do you need; Accept	[Offer]
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Offer]
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer]
counteroffer	other	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Other]
accept	offer	Tomm; I have sheep, yes.; Accept	[Offer]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer]
accept	counteroffer	Dave; sure; Accept	[Counteroffer]
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	offer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Offer]
offer	accept	Dave; anyone need wheat?; Offer	[Accept]
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	counteroffer	rennoc1; i'm ok for now; Refusal	Counteroffer
offer	other	rennoc1; any got any wood they can trade; Offer	[Other]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	offer	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Offer]
accept	offer	rennoc1; yep; Accept	[Offer]
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	counteroffer	rennoc1; ok; Accept	[Counteroffer]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	accept	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Accept]
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer]
accept	counteroffer	Tomm; Ore would be good.; Accept	Counteroffer
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer]
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept]
counteroffer	offer	Dave; what have you got to trade?; Counteroffer	[Offer]
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer]
accept	counteroffer	Dave; I guess I can use two sheep; Accept	[Counteroffer]
