true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	Offer, I can trade you some wood for ore.
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	Offer, I'll trade you 2 sheep for 1 wood.
refusal	counteroffer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	Counteroffer, I can trade you wheat for ore.
accept	offer	rennoc1; got some clay. how many do you need; Accept	Offer, I'll give you 1 ore in exchange for 1 wheat.
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	Offer, I'll give you 2 wheat if you don't move the robber to my tile.
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer], I can give you 2 sheep for 1 wheat.
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer], I can offer you 2 ore for 1 sheep.
accept	accept	Tomm; I have sheep, yes.; Accept	[Accept], I'll give you two wood for a clay.
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	Offer, I'll trade you wood for sheep.
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer], I can trade you wheat for ore.
accept	counteroffer	Dave; sure; Accept	Counteroffer, I'll give you an ore for a clay.
offer	accept	Tomm; rennoc: Sheep for an ore?; Offer	Accept, Sure, I'll accept the trade. Thank you.
counteroffer	counteroffer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Counteroffer], How about I give you a wheat for that sheep instead?
offer	offer	Dave; anyone need wheat?; Offer	Offer, I'll give you a wood for a sheep.
refusal	other	Tomm; no thanks; Refusal	Other, "I have plenty of ore if anyone is interested."
offer	refusal	Dave; rennoc?; Offer	Refusal, I don't need any wheat right now.
refusal	other	rennoc1; i'm ok for now; Refusal	[Other], Can you clarify which land you are referring to on the board?
offer	offer	rennoc1; any got any wood they can trade; Offer	Offer, I'll trade you 1 wood for 1 ore.
refusal	offer	Dave; Nope; Refusal	[Offer], I have wood. What are you willing to trade for it?
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other], Let's focus on finding ways to improve our strategies instead of dwelling on the negative outcomes.
accept	accept	rennoc1; yep; Accept	[Accept], I'll take some ore in exchange for wood.
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer], I have an extra brick, anyone willing to trade for wheat?
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer], I have extra clay and sheep, what resources are you willing to trade for them?
accept	offer	rennoc1; got some clay.; Accept	[Offer], I'll give you 2 wood for 1 wheat.
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer], I'll trade you 2 wheat for 1 clay.
accept	counteroffer	rennoc1; ok; Accept	[Counteroffer], How about 1 ore for 2 clay instead?
offer	offer	Tomm; Wheat? Sheep?; Offer	Offer, I'll give you 1 wood for 1 wheat.
offer	accept	Tomm; Anyone needy?; Offer	Accept, I can give you 2 ore for 1 sheep.
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer], I could use some wheat in exchange for ore.
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer], I'll trade you 2 ore for 1 wheat.
accept	other	Tomm; Ore would be good.; Accept	[Other], Yeah, finally getting some resources rolling in! Let's see if I can turn this into a winning strategy.
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	Offer, I can trade you some ore for wood if you're interested.
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept], Deal! My sheep for your ore.
counteroffer	counteroffer	Dave; what have you got to trade?; Counteroffer	[Counteroffer], I can give you wood in exchange for some wheat.
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer], I have extra ore and wheat. Would you be willing to trade some wood or sheep for them?
accept	offer	Dave; I guess I can use two sheep; Accept	[Offer], I have plenty of wood, would anyone be willing to trade some sheep for it?
accept	other	Dave; yeah, go ahead; Accept	Other, Let's see if anyone is willing to trade sheep for something I have.
offer	accept	Dave; Still want to trade?; Offer	Accept, I'll give you 2 sheep for 1 wood.
accept	counteroffer	Tomm; Yes, do you still want to? do you still want to?; Accept	Counteroffer, I'll trade you 2 sheep for 1 wood.
accept	offer	Dave; and yeah, and yeah, sure; Accept	[Offer], I'll trade you 1 wheat and 1 sheep for 2 ore.
offer	other	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	[Other], Who's turn is it next?
refusal	offer	Tomm; Ah, 'fraid not; Refusal	[Offer], I can offer you 1 wood for 1 clay.
offer	other	Dave; rennoc?; Offer	Other, I think I have enough clay to upgrade my settlement next turn.
refusal	other	rennoc1; nope dont have either; Refusal	Other, It seems like Ronnoc might be trying to ask for a specific resource, perhaps sheep or wood.
refusal	offer	Tomm; You just nicked my wheat :P; Refusal	[Offer], I have ore, I can trade you for wheat.
refusal	other	Tomm; Not going to buy it back; Refusal	[Other], It was a strategic move! I needed it for my next development card.
offer	other	Dave; Want to buy it back? :D; Offer	Other, How could you let go of that development card? It must have been important for your strategy.
offer	other	Tomm; Anyone want anything for wood?; Offer	Other, "I can trade you some ore for that wheat if you change your mind."
refusal	other	rennoc1; dont have any, sorry; Refusal	Other, "I agree, sometimes it feels like the dice are against us."
offer	other	Tomm; So no wood anyone? okay okay; Offer	[Other], How are we going to handle the robber being on the ore hex?
refusal	offer	Dave; nope, sorry; Refusal	Offer, I have an extra wheat, anyone willing to trade for ore?
offer	counteroffer	rennoc1; so anyone have any ore? I have sheep to spare; Offer	Counteroffer, I'll give you 1 wood for 1 wheat.
counteroffer	offer	Dave; I have wheat; Counteroffer	[Offer], I can trade you wheat for your sheep.
refusal	counteroffer	Tomm; fraid not; Refusal	Counteroffer, I have ore.
offer	offer	Dave; anyone need wheat?; Offer	[Offer], I'll trade you 1 wood for 1 ore.
refusal	offer	Tomm; Really not, sorry.; Refusal	[Offer], I'll trade you wood for wheat.
offer	other	Dave; rennoc?; Offer	Other, It's alright, mistakes happen.
refusal	other	rennoc1; I'm fine for wheat at the mo; Refusal	Other, The player is thinking about their next move and asks: "Which tiles are producing resources right now?"
