true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Other]
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	other	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Other]
counteroffer	counteroffer	rennoc1; could do with some ore or sheep; Counteroffer	[Counteroffer]
counteroffer	counteroffer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Counteroffer]
accept	other	Tomm; I have sheep, yes.; Accept	[Other]
counteroffer	other	Dave; Need ore or wheat?; Counteroffer	[Other]
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer]
accept	counteroffer	Dave; sure; Accept	[Counteroffer]
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	accept	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Accept]
offer	accept	Dave; anyone need wheat?; Offer	[Accept]
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	counteroffer	Dave; rennoc?; Offer	[Counteroffer]
refusal	other	rennoc1; i'm ok for now; Refusal	[Other]
offer	other	rennoc1; any got any wood they can trade; Offer	[Other]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	offer	rennoc1; yep; Accept	[Offer]
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	counteroffer	Tomm; what for?; Counteroffer	[Counteroffer]
accept	counteroffer	rennoc1; got some clay.; Accept	[Counteroffer]
offer	counteroffer	Dave; 1 ore for 1 clay?; Offer	[Counteroffer]
accept	counteroffer	rennoc1; ok; Accept	[Counteroffer]
offer	other	Tomm; Wheat? Sheep?; Offer	[Other]
offer	counteroffer	Tomm; Anyone needy?; Offer	[Counteroffer]
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer]
refusal	other	rennoc1; yeah, ive nothing either; Refusal	[Other]
accept	other	Tomm; Ore would be good.; Accept	[Other]
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer]
counteroffer	counteroffer	rennoc1; can I have some wood dave?; Counteroffer	Counteroffer
