true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer], Sarah: I have extra wood, I can trade with you for some ore or wheat.
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	Other, Sarah: Is it your turn to roll the dice, Dave?
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer], Sarah: I have extra wheat, would you trade for some clay?
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other], Sarah: Oh no, did the robber land on your territory?
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	Offer, Sarah: I have an abundance of ore, anyone willing to trade wheat for it?
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer], Sarah: I can give you 2 wheat for 1 ore.
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer], Player 3: I can offer you 1 ore in exchange for 1 wheat.
accept	other	Tomm; I have sheep, yes.; Accept	[Other], Sarah: I think we need to watch out for whoever has the most wheat, they might be a target for the robber next.
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer], Sarah: I'll trade you some wheat for your sheep.
offer	accept	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Accept], Sarah: I have wheat, I can trade it for ore. 
accept	counteroffer	Dave; sure; Accept	[Counteroffer], Sarah: How about 2 wheat for a sheep instead?
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other], Sarah: You're welcome, Dave. Just remember to watch out for the robber pawn moving forward.
counteroffer	counteroffer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Counteroffer], Sam: I can do wheat for sheep instead.
offer	other	Dave; anyone need wheat?; Offer	[Other], Sarah: No, the robber pawn moves to the resource tile you rolled and I get to steal one of your resources from that tile.
refusal	other	Tomm; no thanks; Refusal	[Other], Emily: How many resources did you end up collecting this turn, Dave?
offer	offer	Dave; rennoc?; Offer	[Offer], Sarah: I'll trade you 2 wheat for 1 ore.
refusal	other	rennoc1; i'm ok for now; Refusal	[Other], Chris: Are you looking to trade ore, Dave?
offer	offer	rennoc1; any got any wood they can trade; Offer	Offer, Emily: I can give you 2 sheep for 1 ore.
refusal	offer	Dave; Nope; Refusal	[Offer], Jaclyn: I can give you wood in exchange for clay.
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other], Sarah: Don't worry, luck can change quickly in this game.
accept	refusal	rennoc1; yep; Accept	[Refusal], Sarah: No thanks, I'm good on ore for now.
offer	other	Dave; willing to trade for clay and sheep; Offer	Other, PlayerA: Do you have any wood to trade?
counteroffer	counteroffer	Tomm; what for?; Counteroffer	[Counteroffer], Sarah: I can trade you wheat and ore for your clay.
accept	other	rennoc1; got some clay.; Accept	[Other], Emily: I think Tomm is asking what you want in exchange for the resources you're offering.
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer], rennoc2: I can trade you wheat for clay.
accept	refusal	rennoc1; ok; Accept	[Refusal], Emily: No thanks, I really need ore for a development card.
offer	offer	Tomm; Wheat? Sheep?; Offer	Offer, Emily: I'll give you 1 wheat for 2 ore.
offer	counteroffer	Tomm; Anyone needy?; Offer	Counteroffer, Sarah: I can give you two clay for one sheep.
refusal	other	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Other], Emily: I think I might be open to trading for some ore.
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer], Sarah: I can trade you 1 wheat for 1 ore.
accept	offer	Tomm; Ore would be good.; Accept	[Offer], Dave: Want to trade some wheat for wood, Tomm?
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer], Sarah: I have extra ore, would you be willing to trade for some wood?
counteroffer	counteroffer	rennoc1; can I have some wood dave?; Counteroffer	[Counteroffer], Sarah: I can give you 1 wood for 1 ore.
counteroffer	accept	Dave; what have you got to trade?; Counteroffer	[Accept], Dave: Sure, I can give you some wood in exchange for wheat. 
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer], Emma: I have some wheat and ore, would you be willing to trade for wood or clay?
accept	offer	Dave; I guess I can use two sheep; Accept	[Offer], Michael: wood, for your sheep
accept	offer	Dave; yeah, go ahead; Accept	[Offer], Sarah: I have an extra wheat, would you be willing to trade your two sheep for it?
offer	offer	Dave; Still want to trade?; Offer	[Offer], Sarah: "Hey Tomm, I see you're in need of ore. I can offer you 2 wood for 1 ore. What do you think?"
accept	accept	Tomm; Yes, do you still want to? do you still want to?; Accept	[Accept], Emma: Sure, I'll trade my wheat for your ore.
accept	other	Dave; and yeah, and yeah, sure; Accept	[Other], Sarah: Are you suggesting a trade, Dave?
offer	other	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	[Other], Sarah: I'll build a road next.
refusal	offer	Tomm; Ah, 'fraid not; Refusal	[Offer], Emma: I have extra wood, would you be willing to trade some wheat for it?
offer	other	Dave; rennoc?; Offer	Other, Sarah: I think we should focus on expanding our settlements towards the hills to gain more ore and wheat resources.
refusal	other	rennoc1; nope dont have either; Refusal	[Other], Sarah: Wait, what do you need, Dave?
refusal	refusal	Tomm; You just nicked my wheat :P; Refusal	[Refusal], Emma: Sorry Dave, I'm low on wheat myself.
refusal	other	Tomm; Not going to buy it back; Refusal	[Other], Lisa: Don't worry, Tomm. I'll make sure to get you some wheat next time.
offer	offer	Dave; Want to buy it back? :D; Offer	[Offer], Alice: I can trade you some ore for your wheat.
offer	other	Tomm; Anyone want anything for wood?; Offer	[Other], Emily: Don't worry Dave, I could use some wheat for my next build.
refusal	other	rennoc1; dont have any, sorry; Refusal	[Other], Emily: Did you have any specific strategy in mind for how to approach the rolls?
offer	other	Tomm; So no wood anyone? okay okay; Offer	[Other], Chris: Let's focus on our strategies for building roads and settlements for now.
refusal	other	Dave; nope, sorry; Refusal	[Other], Sarah: I'm thinking we should focus on upgrading our settlements to cities soon.
offer	other	rennoc1; so anyone have any ore? I have sheep to spare; Offer	[Other], Emma: Do you have any wood to trade?
counteroffer	offer	Dave; I have wheat; Counteroffer	[Offer], Player2: I could trade you some wood for your sheep.
refusal	offer	Tomm; fraid not; Refusal	[Offer], Emily: I can trade you ore for wheat.
offer	other	Dave; anyone need wheat?; Offer	[Other], Sarah: Is anyone looking to trade ore?
refusal	offer	Tomm; Really not, sorry.; Refusal	[Offer], Sarah: I could trade you some ore for wheat.
offer	other	Dave; rennoc?; Offer	Other, Lisa: It's okay, Tomm. Don't worry about it.
refusal	offer	rennoc1; I'm fine for wheat at the mo; Refusal	[Offer], Sarah: Clay for wheat?
counteroffer	offer	Tomm; What for?; Counteroffer	[Offer], Sarah: I could trade you some ore for wheat.
offer	other	Dave; clay, I guess, or ore; Offer	[Other], Sarah: We need resources to build more structures and expand our settlements.
offer	offer	Dave; or wood; Offer	[Offer], Emily: I can give you ore in exchange for wheat.
counteroffer	accept	Dave; sure, can you do 2 for 2, or do you just want 1 for 1; Counteroffer	[Accept], Dave: Deal.
accept	counteroffer	Tomm; Just 1-4-1 I'm afraid; Accept	[Counteroffer], Emma: How about 2 for 1?
accept	counteroffer	Dave; fair enough; Accept	[Counteroffer], Emily: I can offer you 2 sheep for that wheat.
offer	other	rennoc1; any spare ores anyone?; Offer	Other, Emily: Is it just me or does it feel like the robber is always targeting me?
refusal	other	Dave; afraid not, sorry; Refusal	[Other], Liam: I could trade you some ore for wheat.
refusal	accept	Tomm; None here either :(; Refusal	[Accept], Emily: That's alright, maybe we can work something out later.
offer	accept	Dave; or a sheep; Offer	[Accept], Sarah: I'll trade you 1 wood for 1 wheat.
refusal	offer	Tomm; sorry :/; Refusal	[Offer], Emily: I can trade you a sheep for some wood.
offer	counteroffer	rennoc1; anyone have any wood?; Offer	Counteroffer, Sarah: I have plenty of wheat, would you be willing to trade some ore for it?
refusal	offer	Dave; nope, sorry; Refusal	[Offer], ylloh2: I have wood, what are you offering in exchange?
refusal	offer	Tomm; I think we are all looking for it! I think we are all looking for it!; Refusal	[Offer], Rachel: I can give you 1 sheep for 1 wheat.
offer	other	Dave; can anyone trade clay for ore; Offer	[Other], Sarah: Did you forget to collect your resources this turn, Tomm?
offer	accept	Dave; as in, I give you the clay; Offer	[Accept], Sarah: I can trade you clay for ore.
refusal	offer	Tomm; No ore, sorry.; Refusal	Offer, Rachel: I can offer you some wood in exchange for that clay.
refusal	other	rennoc1; me neither me neither; Refusal	[Other], Alice: Do you need any specific resource in exchange for ore, Tomm?
offer	counteroffer	Dave; anyone got clay or ore they can swap for wheat?; Offer	Counteroffer, Emma: I can offer you two wheat for one clay.
offer	offer	Dave; clay or wood, rather; Offer	[Offer], Sarah: I have some clay, I can trade it for wheat.
accept	counteroffer	Tomm; Only got that one; Accept	[Counteroffer], Emily: I can offer you wheat in exchange for clay.
offer	other	Dave; could you, by any chance, use some fine high quality wheat; Offer	[Other], Emily: Do you need any specific resources to build any structures on your next turn?
offer	offer	Dave; guaranteed to be 100% more edible than clay; Offer	[Offer], Emily: I have some extra wheat, would you be willing to trade for some ore?
accept	other	Tomm; If I get more clay, perhaps... I can eat the sheep for now.; Accept	[Other], Sarah: I can't argue with that, but I really need some wood right now.
accept	other	rennoc1; maybe but I have almost nothing but wheat to trade back; Accept	Other, Sarah: That tandoor oven sounds amazing, Tomm! Have you thought about trading some of your clay for my wheat?
offer	other	Dave; clay or wood rennoc?; Offer	[Other], Player 2: I have plenty of ore and wood, would you be interested in trading for those instead?
offer	offer	Dave; either one; Offer	[Offer], Sarah: I can give you wood for clay.
refusal	refusal	rennoc1; unfortunately, neither one; Refusal	[Refusal], Emily: I'm sorry, I can't do that offer.
counteroffer	other	rennoc1; tomm, could I give you 3 sheep for a clay and an ore?; Counteroffer	[Other], Maya: Is anyone willing to trade some wheat or ore?
refusal	refusal	Tomm; I don't have ore, I'm afraid!; Refusal	[Refusal], tomm: I'm sorry rennoc1, I really need those sheep for my next turn strategy.
refusal	other	Tomm; Well, as I say, don't have any ore at all; Refusal	[Other], PlayerX: I don't have much to trade at the moment, so I might need to focus on building more structures instead.
counteroffer	other	rennoc1; do you have any ores, dave?; Counteroffer	[Other], Sarah: What do you mean, Tomm?
refusal	offer	Dave; lo; Refusal	[Offer], Dave: Sure, I can give you 1 ore in exchange for 1 wheat.
refusal	other	Dave; I don't, no; Refusal	[Other], Emma: Hey Dave, are you ready to trade some resources?
offer	other	Dave; I have wheat; Offer	[Other], Sarah: Can anyone spare some wood? I really need it to build my settlement.
offer	counteroffer	Dave; but seriously, want to trade for some wheat?; Offer	[Counteroffer], Emma: I have plenty of ore, would you be interested in trading some wheat for it?
accept	offer	Dave; I do; Accept	[Offer], rennoc2: I have extra wheat, would you be willing to trade your ore for it?
counteroffer	other	Dave; ore for wood?; Counteroffer	[Other], Sarah: How many victory points do you have, Dave?
counteroffer	counteroffer	rennoc1; if only... I have clay? I have clay?; Counteroffer	Counteroffer, Emma: How about wheat for wood instead?
accept	other	Dave; yeah, go ahead yeah, go ahead; Accept	[Other], Emily: Do you need that particular resource for a specific trade?
counteroffer	offer	Tomm; I could offer things?; Counteroffer	[Offer], rennoc: I can trade you one clay for one wheat.
counteroffer	other	Dave; wood?; Counteroffer	[Other], Emma: Sure, you can offer trades to other players to get the resources you need for your next move.
counteroffer	offer	Tomm; Ore?; Counteroffer	[Offer], Emily: I can give you 1 wheat for 1 wood.
counteroffer	offer	Dave; clay rennoc; Counteroffer	[Offer], Sarah: Wheat for ore?
counteroffer	other	Dave; I have ore to trade (or wheat, always wheat) I have ore to trade (or wheat, always wheat); Counteroffer	[Other], Emily: Is anyone willing to trade some wood for clay?
offer	offer	rennoc1; tomm, do you have ore?; Offer	[Offer], Emma: I have wood, would anyone be willing to trade for ore?
accept	refusal	Tomm; Yes, yes I do; Accept	[Refusal], tomm: Sorry, rennoc1, I don't have any ore to trade right now.
accept	offer	rennoc1; ok; Accept	[Offer], Sarah: I can give you 2 sheep for 1 wheat.
offer	other	Dave; any wood around?; Offer	[Other], Sarah: I agree, the 8s have been really scarce lately.
refusal	offer	rennoc1; nope; Refusal	[Offer], Sarah: I have extra wood, what resource are you willing to trade for it?
refusal	counteroffer	Tomm; Surprisingly I am bereft of sheep.; Refusal	[Counteroffer], Emma: I'll give you some ore for your wheat.
offer	offer	Dave; rennoc?; Offer	Offer, Sarah: "Hey Dave, I see you're low on wood. I can offer you 2 wheat for 1 wood. What do you think?"
refusal	other	rennoc1; sorry, no sheep; Refusal	[Other], Chris: What do you need, Dave?
offer	other	Tomm; Fancy some tasty ore?; Offer	[Other], rennoc2: Good luck, we'll wait for you to continue the game.
refusal	counteroffer	Dave; I do not ^_^; Refusal	[Counteroffer], Kate: How about some wood for that ore?
offer	counteroffer	Tomm; How about clay?; Offer	Counteroffer, Emma: I can give you 1 wood in exchange for 1 clay.
refusal	counteroffer	Dave; nope, sorry, I'm good for clay; Refusal	[Counteroffer], Sarah: I can give you wheat in exchange for some clay.
offer	other	Dave; trade?; Offer	[Other], Emma: Looks like you're in need of some wood, Dave.
counteroffer	other	Tomm; Tommville is amused by such base humour. Anyway, what will you offer for wood?; Counteroffer	[Other], Sarah: "Tomm, are you planning something devious with that snigger?"
offer	other	Dave; wheat?:D; Offer	[Other], Mia: I can give you two wheat for that wood.
offer	accept	Dave; or clay; Offer	[Accept], Sarah: Sure, I can trade you wheat for some ore.
counteroffer	counteroffer	rennoc1; anone have sheep; Counteroffer	[Counteroffer], Emma: I can give you 2 wheat for 1 clay.
refusal	offer	Tomm; Pfft, your pots are of no use.; Refusal	[Offer], rennoc2: I have wheat, would you be willing to trade some sheep for it?
